cutting_speed,spindle_speed,feed,feed_rate,power_pc ,cooling,material,drill_bit_type,process_time,main_failure,BEF,CCF,FWF,WDF
29.92,794,0.218,173,194.87,75,1,1,19.26,0,0,0,0,0
29.85,792,0.241,191,214.71,75,1,1,19.55,0,0,0,0,0
22.85,606,0.183,111,95.68,50,2,2,36.16,0,0,0,0,0
29.6,785,0.236,237,206.93,75,1,1,21.22,1,0,0,1,0
17.43,462,0.246,114,74.85,50,3,3,33.56,0,0,0,0,0
22.51,597,0.168,100,85.02,25,2,2,34.5,0,0,0,0,0
22.68,602,0.192,116,98.84,50,2,2,36.32,0,0,0,0,0
16.9,448,0.203,91,57.95,0,3,3,33.01,0,0,0,0,0
29.98,795,0.238,189,213.79,75,1,1,18.89,0,0,0,0,0
30.41,807,0.264,213,244.11,100,1,1,21.18,0,0,0,0,0
22.51,597,0.164,98,82.97,25,2,2,36.12,0,0,0,0,0
30.43,807,0.28,226,259.02,100,1,1,20.66,0,0,0,0,0
29.89,793,0.233,185,208.5,75,1,1,20.67,0,0,0,0,0
17.62,467,0.251,117,77.93,50,3,3,33.76,0,0,0,0,0
29.86,792,0.229,182,204.5,75,1,1,19.94,0,0,0,0,0
22.56,599,0.206,123,104.8,50,2,2,35.14,0,0,0,0,0
17.02,451,0.214,97,62.05,25,3,3,32.43,0,0,0,0,0
30.48,809,0.27,218,250.53,100,1,1,19.66,0,0,0,0,0
30.18,800,0.241,193,219.88,75,1,1,19.36,0,0,0,0,0
29.77,790,0.232,184,206.01,75,1,1,20.08,0,0,0,0,0
17.27,458,0.262,120,78.01,50,3,3,33.37,0,0,0,0,0
22.76,604,0.184,111,95.39,50,2,2,35.46,0,0,0,0,0
29.79,790,0.227,180,201.84,75,1,1,19.38,0,0,0,0,0
30.2,801,0.261,209,238.5,100,1,1,20.18,0,0,0,0,0
30.23,802,0.244,195,222.8,75,1,1,19.72,0,0,0,0,0
29.88,793,0.249,198,222.51,75,1,1,20.05,0,0,0,0,0
29.54,784,0.223,175,194.92,75,1,1,20.38,0,0,0,0,0
17.09,453,0.244,111,71.36,50,3,3,33.53,0,0,0,0,0
17.3,459,0.266,122,79.69,50,3,3,33.34,0,0,0,0,0
22.54,598,0.184,110,93.55,50,2,2,32.87,0,0,0,0,0
29.65,787,0.22,173,193.28,75,1,1,20.98,0,0,0,0,0
22.7,602,0.158,95,81.21,25,2,2,35.44,0,0,0,0,0
22.61,600,0.172,103,88.06,50,2,2,34.62,0,0,0,0,0
22.47,596,0.175,104,88.21,50,2,2,34.89,0,0,0,0,0
