cutting_speed,spindle_speed,feed,feed_rate,power_pc ,cooling,material,drill_bit_type,process_time,Predicted,Actual
-0.1313718,0.49217337,-2.4848812,0.97549546,0.52151227,-1.3934264,0.0,-1.4717451,-0.2879139,0,0
-0.09401909,-0.911507,-0.12759134,-2.4976015,-0.32968938,0.15169276,0.0,-1.7396368,0.05933998,0,0
-0.2921657,-1.151208,0.1079426,-3.1062481,0.90182006,0.03107941,0.0,-1.7704487,-0.5845538,0,0
-0.27951247,0.34889913,-2.1934307,-1.1468894,-0.0225873,-0.45897666,0.0,-1.7843167,-1.1298668,0,0
-2.539808,-0.464636,-0.66433233,0.97323847,-0.7372935,-1.1653584,0.0,-0.25207242,-1.6870922,0,0
-0.21951829,-0.98615706,0.3189161,-2.3020964,0.28005353,-0.35734242,0.0,-1.3876134,-1.0875483,0,0
-2.5529845,-0.53350484,-0.12448612,0.58957726,-0.8599811,-1.1950047,0.0,-0.41480085,-1.6633593,0,0
-4.1827917,-0.4188864,-1.0702997,2.964216,-0.6580137,-1.0785556,0.0,0.3792883,-0.6580016,0,0
-2.5882392,-0.5472408,0.2540214,0.5220387,-0.87715125,-1.1950047,0.0,-0.51611805,-1.6343141,0,0
-0.37203842,0.5345378,-1.2994443,-1.6342256,-0.45407194,-0.404541,0.0,-1.2760959,-0.27330506,0,0
-0.1992364,-1.1448482,-0.038477182,-2.7885802,-0.18293045,0.22445734,0.0,-1.7117283,0.041568916,0,0
-2.5703993,-0.5472408,0.19279096,0.5188657,-0.87715125,-1.1950047,0.0,-0.45036414,-1.6535044,0,0
-4.6257105,-0.47313175,-1.1379732,2.1856608,-0.19484444,-0.5998318,0.0,0.21576346,0.09078599,0,0
-0.66030276,-0.6252919,-0.31708163,0.41521555,-0.50167555,-1.2538569,0.0,-0.46412572,-0.66515756,0,0
-2.5412095,-0.522844,-0.08462728,1.0728406,-0.76288897,-1.1670727,0.0,-0.38252154,-1.6633593,0,0
-2.539808,-0.464636,-0.66433233,0.97323847,-0.7372935,-1.1653584,0.0,-0.25207242,-1.6870922,0,0
-0.5014365,0.4246587,-1.0356443,-1.8195057,-0.44418466,-0.38416862,0.0,-1.2927287,-1.0151783,0,0
-0.17328267,-0.8211658,0.15588805,-2.0958526,0.19062296,-0.3605005,0.0,-0.6733375,-0.19873111,0,0
-4.6257105,-0.47313175,-1.1379732,2.1856608,-0.19484444,-0.5998318,0.0,0.21576346,0.09078599,0,0
-0.60171896,-0.82993233,0.2862976,-2.1612227,0.17079653,-0.35734242,0.0,-1.2246569,-0.72549194,0,0
-0.28082108,-1.0933342,0.44568053,-3.2354224,0.94285643,0.058873754,0.0,-1.7898719,-0.25408745,0,0
-0.7399633,-0.7368796,-0.12768275,-1.131747,-0.15436536,-0.4806135,0.0,-0.96901953,-0.98051476,0,0
-0.35920563,-0.84966826,0.15657377,-1.6445946,0.16091649,-0.36430946,0.0,-1.3492042,-0.7462898,0,0
-2.5703993,-0.5472408,0.19279096,0.5188657,-0.87715125,-1.1950047,0.0,-0.45036414,-1.6535044,0,0
-0.21000503,-0.92908704,0.3193084,-2.3206103,0.27411082,-0.35734242,0.0,-1.3944792,-0.7993247,0,0
-0.31839657,-0.70260984,0.33225054,-0.14347361,-0.97867817,-1.2393821,0.0,-0.52716625,-1.2912612,0,0
-0.2080741,-0.76866704,-0.23284493,-0.60377866,-1.2286559,-1.2269956,0.0,-0.54848874,-1.7006427,0,0
-0.55712175,0.53516734,-0.9186074,-2.928711,-0.38933012,0.19258215,0.0,-1.1796453,0.17070794,0,0
2.6543107,-0.6116665,0.27315485,7.146204,-0.6396015,-0.5001147,0.0,1.3638359,-0.19020489,1,1
-2.539808,-0.4996871,-0.40480092,1.0015653,-0.76288897,-1.1653584,0.0,-0.3789777,-1.6818784,0,0
-0.9032516,-0.7498143,0.1449439,-1.0067079,-0.06896977,-0.4887058,0.0,-1.1021886,-0.8299828,0,0
-2.5882392,-0.5472408,0.3199792,0.5286985,-0.8854024,-1.1950047,0.0,-0.5967885,-1.6180103,0,0
-0.34482253,0.351551,-1.1266817,-1.6348163,-0.46261698,-0.38257462,0.0,-1.2593473,-0.5702776,0,0
-0.7068776,-0.7465858,0.23990798,0.3062223,-0.97867817,-1.243842,0.0,-0.68000746,-1.5460663,0,0
-4.1139274,-0.4188864,-1.0702997,2.7809997,-0.6580137,-1.0651886,0.0,0.43599644,-0.46540943,0,0
-0.09832704,-0.97134864,0.3758681,-3.2611365,0.73836553,0.13599108,0.0,-1.7397231,0.33214468,0,0
-2.5882392,-0.5472408,0.27201736,0.5229696,-0.8683397,-1.1942569,0.0,-0.5760021,-1.6029162,0,0
-0.19795288,0.4450106,-2.4053757,0.68253547,0.48418435,-1.3270257,0.0,-1.3563906,-0.8268752,0,0
-0.0017956477,0.1323752,0.35584486,-0.48012516,-0.9857717,-1.2619545,0.0,0.18521206,-1.2383986,0,0
-0.23733282,-0.8218423,0.31540632,-2.5361807,0.6245869,-0.23325303,0.0,-1.7078179,-1.0673268,0,0
-0.25227672,0.46846184,-2.478975,-1.1088146,-0.058367036,-0.46900937,0.0,-1.7367138,-0.40295228,0,0
-0.6800749,-0.7581532,0.3152528,-1.8599985,0.11889835,-0.35348684,0.0,-1.175706,-0.7097321,0,0
-0.702268,-0.67313707,-0.3409148,0.18821937,-0.46875992,-1.222976,0.0,-0.49300805,-1.0218886,0,0
-0.41246048,-0.8365786,0.025544234,-1.0604558,-0.21215113,-0.48162138,0.0,-1.1219627,-0.65525997,0,0
-0.24983843,0.3377515,-2.5049586,-1.1480062,0.47805715,-0.5206178,0.0,-1.6299753,-0.8701398,0,0
-0.5197896,0.5819846,-1.228345,-1.713263,-0.49535468,-0.39420134,0.0,-1.2396008,-0.34402663,0,0
-0.26214993,-1.0015662,0.37008858,-3.2747724,0.94285643,0.02171093,0.0,-1.740616,0.27069098,0,0
-0.3179803,0.5028284,-1.3338907,-1.0947286,-0.68185884,-0.46199784,0.0,-1.5233784,-0.44101062,0,0
-0.4696918,0.6260715,-0.63137853,-2.1910155,-0.45593467,-0.34553477,0.0,-1.0055913,-0.21421412,0,0
-2.597295,-0.5348097,-0.09680472,0.59385556,-0.8511696,-1.1411079,0.0,-0.35412326,-1.1110784,0,0
-0.43390402,0.26357374,-0.085539185,-0.7458268,-1.1975045,-1.2757208,0.0,0.92879486,-1.0932083,0,0
-4.714718,-0.4730186,-1.0733676,2.9850004,-0.19678785,-0.8765012,0.0,0.23773324,-0.76891273,0,0
-0.73443234,-0.74965644,-0.14903063,-1.0175215,-0.1701248,-0.4799769,0.0,-0.9820483,-1.0967017,0,0
-2.539808,-0.464636,-0.66433233,0.97323847,-0.7372935,-1.1653584,0.0,-0.25207242,-1.6870922,0,0
-0.5432922,0.5391749,-0.9556721,-1.6752065,-0.4847572,-0.38416862,0.0,-1.3543035,-1.5274657,0,0
-4.6257105,-0.47313175,-1.1379732,2.1856608,-0.19484444,-0.5998318,0.0,0.21576346,0.09078599,0,0
-0.6807659,-0.61606705,-0.32900393,0.2119658,-0.5015237,-1.222976,0.0,-0.5168665,-0.6810359,0,0
-0.7081497,-0.61606705,-0.33738077,0.22371697,-0.5033062,-1.222976,0.0,-0.48269027,-0.694576,0,0
-0.3351916,-1.062222,0.52876633,-3.3191762,0.93751276,0.032596394,0.0,-1.763772,-0.348269,0,0
-0.1310487,-1.0778064,0.4560623,-3.2917793,0.78767085,0.035410702,0.0,-1.751522,-0.53741825,0,0
-2.4482877,-0.52413565,0.2819487,0.30482987,-0.8823959,-1.1952846,0.0,-0.5735191,-1.6513205,0,0
-4.1707554,-0.41758156,-1.0696474,3.0816748,-0.6595734,-1.078676,0.0,0.36140904,-0.7698944,0,0
-0.37723565,0.4447578,-0.10909584,-2.9428916,-0.5527104,0.13074723,0.0,-0.9217284,-0.387425,0,0
-0.6853625,-0.7581532,0.3152528,-1.8528302,0.11889835,-0.35418248,0.0,-1.175706,-0.7847499,0,0
-0.24055998,0.46941897,-2.4638624,-1.1235042,-0.058367036,-0.47425482,0.0,-1.7367138,-0.41080406,0,0
0.18010676,-0.57042235,0.76576906,6.009222,2.2164373,3.3334746,0.0,-0.6902816,-0.06341589,1,1
-2.5703993,-0.5472408,0.23512203,0.5218338,-0.87715125,-1.1950047,0.0,-0.49827826,-1.6508894,0,0
-2.5284305,-0.5348097,-0.09680472,0.59385556,-0.8511696,-1.1411079,0.0,-0.35412326,-1.0316278,0,0
-0.22702034,0.41296476,-2.5714178,-0.1319883,0.70168364,-1.2221327,0.0,-1.8922657,-0.2952107,0,0
-2.5529845,-0.53350484,-0.12448612,0.58957726,-0.8599811,-1.1950047,0.0,-0.41480085,-1.6633593,0,0
-0.041763358,-1.1389557,0.24586838,-2.7350953,0.21906164,0.13546163,0.0,-1.7406434,-0.26095584,0,0
-0.275795,-1.2052333,0.2052095,-2.8707793,-0.14833882,0.15584384,0.0,-1.7352953,-0.43112683,0,0
-0.27747965,0.3393352,-1.8171372,-1.147674,-0.6444451,-0.44948846,0.0,-1.3859397,-0.61337817,0,0
-0.2585609,0.3365329,-2.0071826,-1.1800121,0.010004982,-0.45671985,0.0,-1.5937284,-0.73789966,0,0
-0.27024084,0.49064484,-1.3185344,-1.5787315,-0.46864223,-0.38169196,0.0,-1.104996,-0.43537456,0,0
-0.65806496,0.3740972,-0.15515853,-2.948839,-0.54668516,0.13074723,0.0,-1.0536621,-0.38401994,0,0
-2.4341457,-0.5926462,-0.24071549,0.10760841,-0.78683,-1.1310697,0.0,0.0007813728,-0.9884541,0,0
-3.9651816,-0.4188864,-1.1028098,2.613451,-0.65263087,-1.0492426,0.0,0.42510334,-0.17991063,0,0
-0.20450936,-0.9350754,0.3351295,-2.5212417,0.40345323,-0.238789,0.0,-1.3951539,-0.79091245,0,0
-0.37705323,-2.6635,0.0076324195,-1.515603,0.4137555,1.2549444,0.0,-1.0985209,0.25996378,0,0
-0.12493211,0.44663656,-2.3995004,0.7158892,0.31605712,-1.4486043,0.0,-1.289839,-0.8397752,0,0
-0.27772948,-0.9719722,0.4107212,-2.1778524,0.15050156,-0.3570347,0.0,-1.3004593,-0.7299367,0,0
-0.15741499,-0.8825116,-0.07693121,-2.7418594,-0.31895795,0.21468775,0.0,-1.6704328,0.011326709,0,0
0.9958168,-0.055125356,0.81741583,1.8494217,-0.24852476,-0.45252,0.0,8.683253,0.35200703,1,1
0.29384708,0.2650701,-0.46052608,-1.5295966,-0.85326475,0.039822906,0.0,-0.82839334,-0.53833747,0,0
0.2233278,-0.9337888,0.34978598,-2.2667937,0.5765363,-0.34382793,0.0,-1.3272481,-0.8044748,0,0
-0.37909275,0.38466528,-0.8533564,-1.8669059,-0.44872254,-0.38257462,0.0,-1.1347685,-0.5475992,0,0
-0.22558948,-0.9360957,0.378648,-2.4096956,0.38466594,-0.2926336,0.0,-1.3199779,-0.37129328,0,0
-4.1707554,-0.41758156,-1.0696474,3.0816748,-0.6595734,-1.078676,0.0,0.36140904,-0.7698944,0,0
-0.32743365,0.42774117,-2.5177126,-0.34180564,0.6712854,-0.9504728,0.0,-1.919638,-0.33359024,0,0
-2.5640638,-0.5472408,0.2098404,0.59053373,-0.87715125,-1.1950047,0.0,-0.45036414,-1.6450528,0,0
-0.12815835,-0.7249947,-0.20775105,-0.79367304,-0.9390801,-1.2242117,0.0,-0.001456424,-1.3305179,0,0
-0.4459831,0.5762041,-0.79821,-2.864966,-0.38933012,0.19258215,0.0,-1.1042385,0.23612472,0,0
-0.40620363,-1.2429901,0.10433493,-2.8287716,-0.14282967,0.15682308,0.0,-1.5170369,-0.42131385,0,0
-0.19445659,0.4366263,-2.3388064,0.71468955,0.4862692,-1.3279358,0.0,-1.4031597,-1.1846114,0,0
-4.1707554,-0.41758156,-1.0696474,3.0816748,-0.6595734,-1.078676,0.0,0.36140904,-0.7698944,0,0
-0.8317271,-0.7430928,-0.06271543,-1.0149876,-0.1886263,-0.4825657,0.0,-0.97653,-0.81757855,0,0
